symbol,series,companyName,isin,asmSurvIndicator,asmTime,survCode,survDesc,srno
21STCENMGM,,21st Century Management Services Limited,INE253B01015,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,1
4THDIM,,Fourth Dimension Solutions Limited,INE382T01030,Stage IV,07-Apr-2023,"LTASM - IV (16)",Long Term Additional Surveillance Measure (LTASM) - Stage IV,2
ADANIGREEN,,Adani Green Energy Limited,INE364U01010,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,3
ADANITRANS,,Adani Transmission Limited,INE931S01010,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,4
AGNI,,Agni Green Power Limited,INE0LF301013,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,5
AKG,,Akg Exim Limited,INE00Y801016,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,6
APOLLO,,Apollo Micro Systems Limited,INE713T01010,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,7
ASIANENE,,Asian Energy Services Limited,INE276G01015,Stage II,07-Apr-2023,"LTASM - II (14)",Long Term Additional Surveillance Measure (LTASM) - Stage II,8
ASIANHOTNR,,Asian Hotels (North) Limited,INE363A01022,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,9
ATGL,,Adani Total Gas Limited,INE399L01023,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,10
AXISCADES,,AXISCADES Engineering Technologies Limited,INE555B01013,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,11
AXISCADES,,AXISCADES Technologies Limited,INE555B01013,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,12
BCG,,Brightcom Group Limited,INE425B01027,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,13
BINANIIND,,Binani Industries Limited,INE071A01013,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,14
BSHSL,,Bombay Super Hybrid Seeds Limited,INE032Z01020,Stage IV,07-Apr-2023,"LTASM - IV (16)",Long Term Additional Surveillance Measure (LTASM) - Stage IV,15
BURNPUR,,Burnpur Cement Limited,INE817H01014,Stage I,07-Apr-2023,"LTASM - I (13)",Long Term Additional Surveillance Measure (LTASM) - Stage I,16
